"id","beheerde","naam","afstand_","beschrij","beugels","boomplaa","boomsoor","boomspie","conditie","klasseri","conditie_1","doodhout","drainage","eindbeel","groeifas","grondsch","hekken","hoogte","kroonbeg","kroondia","markant_","nauwkeur","nesten","niveau","onderhou","opmerkin","opnameda","takvrije","paaltjes","plakokse","plantdat","scheefst","schurend","soort_zw","stamomtr","stamopsl","takschad","topsterf","vrije_do","waterlot","wortelop","wortelop_1","werkzaam","ziektes_","beschrij_1","zwammen","fauna","optillin","grootte_","beperkte","adventie","te_slank","verdikki","reactieg","afwijken","uitzakke","holte","rot","flessenh","verdikki_1","vezelkni","lengtesc","kankers","spechten","hergroei","ingroei_","id_tabel","vta_datu","wortelsc","stamscha","kroonsch","dichtstb","laatste_","snoeifre","volgende","einddatu","volgende_1","created_","created__1","modified","modified_1","species_raw","city","genus","LCZ_class","OSM_class","x","y"
"34616","Hasselt",NA,NA,NA,NA,NA,"Platanus orientalis","Gras","Goed","veilig",NA,"False","False","Vormboom","Kandelaberen (F)","False",NA,"11","False","6,2","False",NA,"True","0","Regulier","Vredespark","12/08/2021 0:00:00","0,1","False","False",NA,"False",NA,NA,"0,16",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","True",NA,NA,"False","False","False","False",NA,NA,"83363","26/11/2021 0:00:00",NA,"Maaischade","Grote snoeiwond met inrotting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Hasselt","Platanus","Open urban","Mixed",217142.515441123,180207.705339371
"34713","Hasselt",NA,NA,NA,NA,NA,"Salix alba","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","False","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"5,5","False","3","False",NA,"True","0","Regulier","Vredespark","12/08/2021 0:00:00","0,1","True","False",NA,"False",NA,NA,"0,35",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"83459","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix alba","Hasselt","Salix","Open urban","Mixed",217236.310441125,180296.989339371
"34631","Hasselt",NA,NA,NA,NA,NA,"Acer campestre","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","False","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"3,7","False","1","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","0,1","True","False",NA,"False",NA,NA,"0,16",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"83378","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer campestre","Hasselt","Acer","Open urban","Mixed",217164.938441123,180217.49033937
"34621","Hasselt",NA,NA,NA,NA,NA,"Platanus orientalis","Gras","Redelijk","veilig",NA,"False","False","Vormboom","Kandelaberen (F)","False",NA,"11","False","6","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","0,5","False","False",NA,"False",NA,NA,"1,57",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","True","True",NA,NA,"False","False","False","False",NA,NA,"83368","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Hasselt","Platanus","Open urban","Mixed",217125.266441122,180195.260339373
"34623","Hasselt",NA,NA,NA,NA,NA,"Platanus orientalis","Gras","Goed","veilig",NA,"False","False","Vormboom","Kandelaberen (F)","False",NA,"11","False","8","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","6","False","False",NA,"False",NA,NA,"18,85",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"83370","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Hasselt","Platanus","Open urban","Mixed",217108.940441122,180198.896339371
"34620","Hasselt",NA,NA,NA,NA,NA,"Platanus orientalis","Gras","Redelijk","veilig",NA,"True","False","Vormboom","Kandelaberen (F)","False",NA,"11","False","6","False",NA,"True","0","Regulier","Vredespark","12/08/2021 0:00:00","0,4","False","False",NA,"False",NA,NA,"1,26",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","True","True",NA,NA,"False","False","False","False",NA,NA,"83367","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Hasselt","Platanus","Open urban","Mixed",217133.368441122,180193.388339371
"34615","Hasselt",NA,NA,NA,NA,NA,"Platanus orientalis","Gras","Goed","veilig",NA,"False","False","Vormboom","Kandelaberen (F)","False",NA,"11","False","7","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","0,5","False","False",NA,"False",NA,NA,"1,57",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","True",NA,NA,"False","False","False","False",NA,NA,"83362","26/11/2021 0:00:00",NA,"Maaischade","Grote snoeiwond met inrotting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platanus orientalis","Hasselt","Platanus","Open urban","Mixed",217131.667441122,180205.800339372
"32371","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6,5","False","4,6","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,72",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81129","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban","Low green",216711.120441118,180508.38433938
"32328","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6","False","4,2","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,66",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81085","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban","Low green",216686.213441118,180508.95833938
"32334","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Matig","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6","False","3,6","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,47",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81091","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216516.414787304,180544.361630863
